"resultados_df.PloKg_Ha","resultados_df.mg_ha","total_mean_mg_ha","total_sd_mgha","CV"
145997.643826416,72.9988219132078,71.24,1.32,1.86
146381.953613956,73.1909768069779,71.24,1.32,1.86
146706.858757767,73.3534293788836,71.24,1.32,1.86
146046.337011424,73.023168505712,71.24,1.32,1.86
140187.06863107,70.0935343155348,71.24,1.32,1.86
143460.763084805,71.7303815424025,71.24,1.32,1.86
140829.50209649,70.4147510482451,71.24,1.32,1.86
145147.382339475,72.5736911697377,71.24,1.32,1.86
143340.749359463,71.6703746797314,71.24,1.32,1.86
141396.303306875,70.6981516534377,71.24,1.32,1.86
141709.802515083,70.8549012575414,71.24,1.32,1.86
143828.853467141,71.9144267335704,71.24,1.32,1.86
145837.264457644,72.9186322288218,71.24,1.32,1.86
144149.740105117,72.0748700525586,71.24,1.32,1.86
140711.257302471,70.3556286512353,71.24,1.32,1.86
139417.333420555,69.7086667102774,71.24,1.32,1.86
140691.599966413,70.3457999832066,71.24,1.32,1.86
142181.806819417,71.0909034097085,71.24,1.32,1.86
138960.589564187,69.4802947820935,71.24,1.32,1.86
141215.173442256,70.607586721128,71.24,1.32,1.86
144433.510859439,72.2167554297197,71.24,1.32,1.86
144529.535562589,72.2647677812945,71.24,1.32,1.86
150143.46763081,75.0717338154051,71.24,1.32,1.86
145117.766037447,72.5588830187233,71.24,1.32,1.86
144851.205465114,72.4256027325571,71.24,1.32,1.86
142613.991429677,71.3069957148384,71.24,1.32,1.86
142194.506608261,71.0972533041307,71.24,1.32,1.86
145498.428078276,72.7492140391381,71.24,1.32,1.86
142329.297185463,71.1646485927313,71.24,1.32,1.86
143479.081111139,71.7395405555697,71.24,1.32,1.86
137354.451128719,68.6772255643593,71.24,1.32,1.86
144157.314337965,72.0786571689827,71.24,1.32,1.86
138404.720412614,69.2023602063071,71.24,1.32,1.86
143384.778713014,71.6923893565069,71.24,1.32,1.86
140248.534712291,70.1242673561454,71.24,1.32,1.86
141377.885254018,70.6889426270091,71.24,1.32,1.86
146401.88978679,73.200944893395,71.24,1.32,1.86
138043.788922815,69.0218944614076,71.24,1.32,1.86
143829.249555632,71.914624777816,71.24,1.32,1.86
143866.768661187,71.9333843305936,71.24,1.32,1.86
134797.975617072,67.398987808536,71.24,1.32,1.86
144368.865748494,72.1844328742468,71.24,1.32,1.86
140243.80802562,70.1219040128099,71.24,1.32,1.86
140104.787793423,70.0523938967115,71.24,1.32,1.86
138565.011341057,69.2825056705283,71.24,1.32,1.86
143434.292074737,71.7171460373684,71.24,1.32,1.86
140844.317527935,70.4221587639673,71.24,1.32,1.86
140498.228497139,70.2491142485693,71.24,1.32,1.86
145042.958260523,72.5214791302614,71.24,1.32,1.86
142907.160909376,71.4535804546882,71.24,1.32,1.86
139437.001650928,69.7185008254639,71.24,1.32,1.86
147170.70458117,73.585352290585,71.24,1.32,1.86
142509.990809617,71.2549954048084,71.24,1.32,1.86
143077.219071059,71.5386095355295,71.24,1.32,1.86
144333.214376205,72.1666071881023,71.24,1.32,1.86
145253.524120663,72.6267620603313,71.24,1.32,1.86
139637.489044789,69.8187445223945,71.24,1.32,1.86
143828.204749421,71.9141023747106,71.24,1.32,1.86
137064.465625939,68.5322328129697,71.24,1.32,1.86
142985.819157331,71.4929095786656,71.24,1.32,1.86
142875.953957361,71.4379769786807,71.24,1.32,1.86
146312.979245373,73.1564896226867,71.24,1.32,1.86
141035.636668618,70.5178183343092,71.24,1.32,1.86
139629.790477027,69.8148952385137,71.24,1.32,1.86
137344.524522604,68.6722622613019,71.24,1.32,1.86
143325.679023171,71.6628395115855,71.24,1.32,1.86
138940.298558454,69.4701492792271,71.24,1.32,1.86
140180.109382484,70.0900546912422,71.24,1.32,1.86
147686.67569089,73.8433378454448,71.24,1.32,1.86
143103.440305933,71.5517201529663,71.24,1.32,1.86
142756.366605121,71.3781833025606,71.24,1.32,1.86
144262.282422886,72.1311412114432,71.24,1.32,1.86
142785.057246638,71.3925286233189,71.24,1.32,1.86
146830.678337578,73.4153391687891,71.24,1.32,1.86
146277.700670435,73.1388503352175,71.24,1.32,1.86
139156.512212558,69.578256106279,71.24,1.32,1.86
143710.464785151,71.8552323925753,71.24,1.32,1.86
138078.955983461,69.0394779917304,71.24,1.32,1.86
136790.145913293,68.3950729566465,71.24,1.32,1.86
142578.111126342,71.2890555631708,71.24,1.32,1.86
137955.909100847,68.9779545504233,71.24,1.32,1.86
146515.688405821,73.2578442029107,71.24,1.32,1.86
141913.150175402,70.9565750877011,71.24,1.32,1.86
138697.38538005,69.3486926900249,71.24,1.32,1.86
144347.144037099,72.1735720185495,71.24,1.32,1.86
143691.54459833,71.8457722991651,71.24,1.32,1.86
142033.862187887,71.0169310939434,71.24,1.32,1.86
144261.954851423,72.1309774257116,71.24,1.32,1.86
138203.737384242,69.1018686921212,71.24,1.32,1.86
138066.651368838,69.033325684419,71.24,1.32,1.86
144764.540644073,72.3822703220366,71.24,1.32,1.86
146109.620058992,73.0548100294958,71.24,1.32,1.86
142036.405914529,71.0182029572645,71.24,1.32,1.86
143052.838246193,71.5264191230965,71.24,1.32,1.86
145720.005483077,72.8600027415387,71.24,1.32,1.86
140762.187203635,70.3810936018176,71.24,1.32,1.86
140676.518701621,70.3382593508107,71.24,1.32,1.86
142896.353849239,71.4481769246197,71.24,1.32,1.86
141676.76112229,70.8383805611452,71.24,1.32,1.86
144223.170860484,72.111585430242,71.24,1.32,1.86
141769.033554871,70.8845167774354,71.24,1.32,1.86
144391.35089851,72.1956754492551,71.24,1.32,1.86
141441.829065901,70.7209145329505,71.24,1.32,1.86
139657.851978914,69.8289259894572,71.24,1.32,1.86
144418.305605679,72.2091528028397,71.24,1.32,1.86
140215.339690264,70.1076698451322,71.24,1.32,1.86
141572.590758754,70.786295379377,71.24,1.32,1.86
141981.692459967,70.9908462299834,71.24,1.32,1.86
143156.256302233,71.5781281511166,71.24,1.32,1.86
142069.639188606,71.034819594303,71.24,1.32,1.86
141371.007486458,70.6855037432289,71.24,1.32,1.86
