"PlotID","resultados_df.PloKg_Ha_1981","resultados_df.mg_ha_1981","total_mean_mg_ha_1981","total_sd_mgha_1981","CV_1981","resultados_df.PloKg_Ha_2021","resultados_df.mg_ha_2021","total_mean_mg_ha_2021","total_sd_mgha_2021","CV_2021","annual_rate","Diff"
1,145997.643826416,72.9988219132078,71.24,1.32,1.86,191884.87097792,95.9424354889598,94,2.09,2.22,0.5735903393938,22.943613575752
2,146381.953613956,73.1909768069779,71.24,1.32,1.86,194180.214964996,97.090107482498,94,2.09,2.22,0.597478266888002,23.8991306755201
3,146706.858757767,73.3534293788836,71.24,1.32,1.86,193638.608122819,96.8193040614095,94,2.09,2.22,0.586646867063147,23.4658746825259
4,146046.337011424,73.023168505712,71.24,1.32,1.86,194919.900972916,97.4599504864578,94,2.09,2.22,0.610919549518645,24.4367819807458
5,140187.06863107,70.0935343155348,71.24,1.32,1.86,185756.173006006,92.8780865030032,94,2.09,2.22,0.56961380468671,22.7845521874684
6,143460.763084805,71.7303815424025,71.24,1.32,1.86,188400.073890774,94.2000369453872,94,2.09,2.22,0.561741385074617,22.4696554029847
7,140829.50209649,70.4147510482451,71.24,1.32,1.86,185778.261087818,92.889130543909,94,2.09,2.22,0.561859487391598,22.4743794956639
8,145147.382339475,72.5736911697377,71.24,1.32,1.86,192491.823307668,96.2459116538341,94,2.09,2.22,0.59180551210241,23.6722204840964
9,143340.749359463,71.6703746797314,71.24,1.32,1.86,190246.17781427,95.1230889071348,94,2.09,2.22,0.586317855685085,23.4527142274034
10,141396.303306875,70.6981516534377,71.24,1.32,1.86,185763.911274952,92.8819556374759,94,2.09,2.22,0.554595099600955,22.1838039840382
11,141709.802515083,70.8549012575414,71.24,1.32,1.86,188198.754791939,94.0993773959696,94,2.09,2.22,0.581111903460705,23.2444761384282
12,143828.853467141,71.9144267335704,71.24,1.32,1.86,189939.806519534,94.969903259767,94,2.09,2.22,0.576386913154915,23.0554765261966
13,145837.264457644,72.9186322288218,71.24,1.32,1.86,191618.758460385,95.8093792301924,94,2.09,2.22,0.572268675034265,22.8907470013706
14,144149.740105117,72.0748700525586,71.24,1.32,1.86,189479.092012171,94.7395460060857,94,2.09,2.22,0.566616898838178,22.6646759535271
15,140711.257302471,70.3556286512353,71.24,1.32,1.86,185558.242794096,92.7791213970479,94,2.09,2.22,0.560587318645315,22.4234927458126
16,139417.333420555,69.7086667102774,71.24,1.32,1.86,182479.329632371,91.2396648161855,94,2.09,2.22,0.538274952647702,21.5309981059081
17,140691.599966413,70.3457999832066,71.24,1.32,1.86,183590.821243216,91.7954106216082,94,2.09,2.22,0.53624026596004,21.4496106384016
18,142181.806819417,71.0909034097085,71.24,1.32,1.86,187890.745039589,93.9453725197943,94,2.09,2.22,0.571361727752145,22.8544691100858
19,138960.589564187,69.4802947820935,71.24,1.32,1.86,182068.8093849,91.0344046924502,94,2.09,2.22,0.538852747758918,21.5541099103567
20,141215.173442256,70.607586721128,71.24,1.32,1.86,185200.546273337,92.6002731366683,94,2.09,2.22,0.549817160388508,21.9926864155403
21,144433.510859439,72.2167554297197,71.24,1.32,1.86,191041.392871224,95.5206964356118,94,2.09,2.22,0.582598525147302,23.3039410058921
22,144529.535562589,72.2647677812945,71.24,1.32,1.86,191496.88756424,95.74844378212,94,2.09,2.22,0.587091900020638,23.4836760008255
23,150143.46763081,75.0717338154051,71.24,1.32,1.86,200654.889249688,100.327444624844,94,2.09,2.22,0.631392770235973,25.2557108094389
24,145117.766037447,72.5588830187233,71.24,1.32,1.86,192947.59224848,96.4737961242399,94,2.09,2.22,0.597872827637915,23.9149131055166
25,144851.205465114,72.4256027325571,71.24,1.32,1.86,192575.505484983,96.2877527424913,94,2.09,2.22,0.596553750248355,23.8621500099342
26,142613.991429677,71.3069957148384,71.24,1.32,1.86,188362.699529917,94.1813497649583,94,2.09,2.22,0.571858851252998,22.8743540501199
27,142194.506608261,71.0972533041307,71.24,1.32,1.86,187721.188107483,93.8605940537417,94,2.09,2.22,0.569083518740275,22.763340749611
28,145498.428078276,72.7492140391381,71.24,1.32,1.86,192228.443969265,96.1142219846324,94,2.09,2.22,0.584125198637357,23.3650079454943
29,142329.297185463,71.1646485927313,71.24,1.32,1.86,186815.508319661,93.4077541598304,94,2.09,2.22,0.556077639177478,22.2431055670991
30,143479.081111139,71.7395405555697,71.24,1.32,1.86,189882.647135824,94.9413235679121,94,2.09,2.22,0.58004457530856,23.2017830123424
31,137354.451128719,68.6772255643593,71.24,1.32,1.86,180275.055502088,90.137527751044,94,2.09,2.22,0.536507554667118,21.4603021866847
32,144157.314337965,72.0786571689827,71.24,1.32,1.86,191438.772327332,95.7193861636661,94,2.09,2.22,0.591018224867085,23.6407289946834
33,138404.720412614,69.2023602063071,71.24,1.32,1.86,183459.127983022,91.7295639915108,94,2.09,2.22,0.563180094630092,22.5272037852037
34,143384.778713014,71.6923893565069,71.24,1.32,1.86,189331.604578615,94.6658022893074,94,2.09,2.22,0.574335323320012,22.9734129328005
35,140248.534712291,70.1242673561454,71.24,1.32,1.86,184962.19024756,92.4810951237801,94,2.09,2.22,0.558920694190867,22.3568277676347
36,141377.885254018,70.6889426270091,71.24,1.32,1.86,187120.125917614,93.560062958807,94,2.09,2.22,0.571778008294947,22.8711203317979
37,146401.88978679,73.200944893395,71.24,1.32,1.86,194574.334128371,97.2871670641853,94,2.09,2.22,0.602155554269757,24.0862221707903
38,138043.788922815,69.0218944614076,71.24,1.32,1.86,181279.126433977,90.6395632169887,94,2.09,2.22,0.540441718889528,21.6176687555811
39,143829.249555632,71.914624777816,71.24,1.32,1.86,190450.330948652,95.225165474326,94,2.09,2.22,0.58276351741275,23.31054069651
40,143866.768661187,71.9333843305936,71.24,1.32,1.86,190154.417923617,95.0772089618084,94,2.09,2.22,0.57859561578037,23.1438246312148
41,134797.975617072,67.398987808536,71.24,1.32,1.86,176840.341136291,88.4201705681454,94,2.09,2.22,0.525529568990235,21.0211827596094
42,144368.865748494,72.1844328742468,71.24,1.32,1.86,190844.610151866,95.4223050759328,94,2.09,2.22,0.58094680504215,23.237872201686
43,140243.80802562,70.1219040128099,71.24,1.32,1.86,183305.477531746,91.6527387658728,94,2.09,2.22,0.538270868826572,21.5308347530629
44,140104.787793423,70.0523938967115,71.24,1.32,1.86,185662.162343265,92.8310811716325,94,2.09,2.22,0.569467181873025,22.778687274921
45,138565.011341057,69.2825056705283,71.24,1.32,1.86,183928.132638717,91.9640663193584,94,2.09,2.22,0.567039016220752,22.6815606488301
46,143434.292074737,71.7171460373684,71.24,1.32,1.86,191635.589917018,95.8177949585092,94,2.09,2.22,0.60251622302852,24.1006489211408
47,140844.317527935,70.4221587639673,71.24,1.32,1.86,184962.583215463,92.4812916077314,94,2.09,2.22,0.551478321094102,22.0591328437641
48,140498.228497139,70.2491142485693,71.24,1.32,1.86,184713.271988302,92.356635994151,94,2.09,2.22,0.552688043639543,22.1075217455817
49,145042.958260523,72.5214791302614,71.24,1.32,1.86,191622.524502143,95.8112622510714,94,2.09,2.22,0.58224457802025,23.28978312081
50,142907.160909376,71.4535804546882,71.24,1.32,1.86,186569.373436214,93.2846867181072,94,2.09,2.22,0.545777656585475,21.831106263419
51,139437.001650928,69.7185008254639,71.24,1.32,1.86,183532.998647178,91.7664993235888,94,2.09,2.22,0.551199962453122,22.0479984981249
52,147170.70458117,73.585352290585,71.24,1.32,1.86,195535.87807563,97.767939037815,94,2.09,2.22,0.60456466868075,24.18258674723
53,142509.990809617,71.2549954048084,71.24,1.32,1.86,189152.702702938,94.5763513514692,94,2.09,2.22,0.58303389866652,23.3213559466608
54,143077.219071059,71.5386095355295,71.24,1.32,1.86,190180.912761285,95.0904563806426,94,2.09,2.22,0.588796171127828,23.5518468451131
55,144333.214376205,72.1666071881023,71.24,1.32,1.86,191755.597148335,95.8777985741673,94,2.09,2.22,0.592779784651625,23.711191386065
56,145253.524120663,72.6267620603313,71.24,1.32,1.86,191193.094295383,95.5965471476916,94,2.09,2.22,0.574244627184007,22.9697850873603
57,139637.489044789,69.8187445223945,71.24,1.32,1.86,183559.06671324,91.7795333566199,94,2.09,2.22,0.549019720855635,21.9607888342254
58,143828.204749421,71.9141023747106,71.24,1.32,1.86,189999.394809919,94.9996974049593,94,2.09,2.22,0.577139875756218,23.0855950302487
59,137064.465625939,68.5322328129697,71.24,1.32,1.86,179554.330716641,89.7771653583205,94,2.09,2.22,0.53112331363377,21.2449325453508
60,142985.819157331,71.4929095786656,71.24,1.32,1.86,188313.04507281,94.1565225364052,94,2.09,2.22,0.56659032394349,22.6636129577396
61,142875.953957361,71.4379769786807,71.24,1.32,1.86,188324.538267236,94.1622691336182,94,2.09,2.22,0.568107303873438,22.7242921549375
62,146312.979245373,73.1564896226867,71.24,1.32,1.86,193944.008582173,96.9720042910865,94,2.09,2.22,0.595387866709995,23.8155146683998
63,141035.636668618,70.5178183343092,71.24,1.32,1.86,186680.440847917,93.3402204239583,94,2.09,2.22,0.570560052241228,22.8224020896491
64,139629.790477027,69.8148952385137,71.24,1.32,1.86,184125.538083747,92.0627690418734,94,2.09,2.22,0.556196845083992,22.2478738033597
65,137344.524522604,68.6722622613019,71.24,1.32,1.86,179433.161167676,89.7165805838382,94,2.09,2.22,0.526107958063407,21.0443183225363
66,143325.679023171,71.6628395115855,71.24,1.32,1.86,188674.29188747,94.337145943735,94,2.09,2.22,0.566857660803737,22.6743064321495
67,138940.298558454,69.4701492792271,71.24,1.32,1.86,182590.388362825,91.2951941814127,94,2.09,2.22,0.54562612255464,21.8250449021856
68,140180.109382484,70.0900546912422,71.24,1.32,1.86,184503.595067182,92.2517975335909,94,2.09,2.22,0.554043571058717,22.1617428423487
69,147686.67569089,73.8433378454448,71.24,1.32,1.86,196396.957350491,98.1984786752455,94,2.09,2.22,0.608878520745018,24.3551408298007
70,143103.440305933,71.5517201529663,71.24,1.32,1.86,189345.910288495,94.6729551442473,94,2.09,2.22,0.578030874782025,23.121234991281
71,142756.366605121,71.3781833025606,71.24,1.32,1.86,188726.51821132,94.36325910566,94,2.09,2.22,0.574626895077485,22.9850758030994
72,144262.282422886,72.1311412114432,71.24,1.32,1.86,191537.518282075,95.7687591410373,94,2.09,2.22,0.590940448239852,23.6376179295941
73,142785.057246638,71.3925286233189,71.24,1.32,1.86,186967.270038709,93.4836350193546,94,2.09,2.22,0.552277659900893,22.0911063960357
74,146830.678337578,73.4153391687891,71.24,1.32,1.86,193898.635340739,96.9493176703693,94,2.09,2.22,0.588349462539505,23.5339785015802
75,146277.700670435,73.1388503352175,71.24,1.32,1.86,194058.633593724,97.0293167968618,94,2.09,2.22,0.597261661541108,23.8904664616443
76,139156.512212558,69.578256106279,71.24,1.32,1.86,182611.062438142,91.3055312190712,94,2.09,2.22,0.543181877819805,21.7272751127922
77,143710.464785151,71.8552323925753,71.24,1.32,1.86,190500.427498287,95.2502137491434,94,2.09,2.22,0.584874533914202,23.3949813565681
78,138078.955983461,69.0394779917304,71.24,1.32,1.86,180497.108404701,90.2485542023507,94,2.09,2.22,0.530226905265508,21.2090762106203
79,136790.145913293,68.3950729566465,71.24,1.32,1.86,179450.430450389,89.7252152251945,94,2.09,2.22,0.5332535567137,21.330142268548
80,142578.111126342,71.2890555631708,71.24,1.32,1.86,187019.448013445,93.5097240067224,94,2.09,2.22,0.55551671108879,22.2206684435516
81,137955.909100847,68.9779545504233,71.24,1.32,1.86,181373.943353637,90.6869716768186,94,2.09,2.22,0.542725428159882,21.7090171263953
82,146515.688405821,73.2578442029107,71.24,1.32,1.86,195700.253748825,97.8501268744127,94,2.09,2.22,0.61480706678755,24.592282671502
83,141913.150175402,70.9565750877011,71.24,1.32,1.86,186127.065797294,93.0635328986468,94,2.09,2.22,0.552673945273643,22.1069578109457
84,138697.38538005,69.3486926900249,71.24,1.32,1.86,182863.531409668,91.4317657048338,94,2.09,2.22,0.552076825370222,22.0830730148089
85,144347.144037099,72.1735720185495,71.24,1.32,1.86,189971.144964854,94.985572482427,94,2.09,2.22,0.570300011596937,22.8120004638775
86,143691.54459833,71.8457722991651,71.24,1.32,1.86,189782.00092859,94.8910004642951,94,2.09,2.22,0.57613070412825,23.04522816513
87,142033.862187887,71.0169310939434,71.24,1.32,1.86,187263.687542533,93.6318437712666,94,2.09,2.22,0.56537281693308,22.6149126773232
88,144261.954851423,72.1309774257116,71.24,1.32,1.86,191272.878377193,95.6364391885967,94,2.09,2.22,0.587636544072127,23.5054617628851
89,138203.737384242,69.1018686921212,71.24,1.32,1.86,181645.580254146,90.8227901270731,94,2.09,2.22,0.543023035873798,21.7209214349519
90,138066.651368838,69.033325684419,71.24,1.32,1.86,181756.956800737,90.8784784003685,94,2.09,2.22,0.546128817898737,21.8451527159495
91,144764.540644073,72.3822703220366,71.24,1.32,1.86,190261.668585978,95.1308342929891,94,2.09,2.22,0.568714099273813,22.7485639709525
92,146109.620058992,73.0548100294958,71.24,1.32,1.86,195087.943360504,97.5439716802518,94,2.09,2.22,0.6122290412689,24.489161650756
93,142036.405914529,71.0182029572645,71.24,1.32,1.86,188549.974422459,94.2749872112295,94,2.09,2.22,0.581419606349125,23.256784253965
94,143052.838246193,71.5264191230965,71.24,1.32,1.86,189901.566476475,94.9507832382374,94,2.09,2.22,0.585609102878523,23.4243641151409
95,145720.005483077,72.8600027415387,71.24,1.32,1.86,193944.902197587,96.9724510987936,94,2.09,2.22,0.602811208931373,24.1124483572549
96,140762.187203635,70.3810936018176,71.24,1.32,1.86,187519.271674395,93.7596358371976,94,2.09,2.22,0.5844635558845,23.37854223538
97,140676.518701621,70.3382593508107,71.24,1.32,1.86,186693.557039151,93.3467785195755,94,2.09,2.22,0.57521297921912,23.0085191687648
98,142896.353849239,71.4481769246197,71.24,1.32,1.86,189533.350970031,94.7666754850153,94,2.09,2.22,0.58296246400989,23.3184985603956
99,141676.76112229,70.8383805611452,71.24,1.32,1.86,186325.997164602,93.1629985823008,94,2.09,2.22,0.55811545052889,22.3246180211556
100,144223.170860484,72.111585430242,71.24,1.32,1.86,189701.688968265,94.8508444841324,94,2.09,2.22,0.56848147634726,22.7392590538904
101,141769.033554871,70.8845167774354,71.24,1.32,1.86,186092.332598291,93.0461662991455,94,2.09,2.22,0.554041238042753,22.1616495217101
102,144391.35089851,72.1956754492551,71.24,1.32,1.86,191589.139910428,95.7945699552139,94,2.09,2.22,0.58997236264897,23.5988945059588
103,141441.829065901,70.7209145329505,71.24,1.32,1.86,186373.473400907,93.1867367004536,94,2.09,2.22,0.561645554187577,22.4658221675031
104,139657.851978914,69.8289259894572,71.24,1.32,1.86,183255.107820701,91.6275539103505,94,2.09,2.22,0.544965698022332,21.7986279208933
105,144418.305605679,72.2091528028397,71.24,1.32,1.86,190331.411064472,95.165705532236,94,2.09,2.22,0.573913818234908,22.9565527293963
106,140215.339690264,70.1076698451322,71.24,1.32,1.86,185579.724867557,92.7898624337786,94,2.09,2.22,0.56705481471616,22.6821925886464
107,141572.590758754,70.786295379377,71.24,1.32,1.86,186820.934066326,93.4104670331629,94,2.09,2.22,0.565604291344648,22.6241716537859
108,141981.692459967,70.9908462299834,71.24,1.32,1.86,186287.131885059,93.1435659425295,94,2.09,2.22,0.553817992813653,22.1527197125461
109,143156.256302233,71.5781281511166,71.24,1.32,1.86,188907.937916627,94.4539689583134,94,2.09,2.22,0.57189602017992,22.8758408071968
110,142069.639188606,71.034819594303,71.24,1.32,1.86,185804.245468661,92.9021227343303,94,2.09,2.22,0.546682578500683,21.8673031400273
111,141371.007486458,70.6855037432289,71.24,1.32,1.86,187506.524206169,93.7532621030846,94,2.09,2.22,0.576693958996392,23.0677583598557
112,143209.756305696,71.6048781528478,71.24,1.32,1.86,190255.241883285,95.1276209416427,94,2.09,2.22,0.588068569719873,23.5227427887949
113,141086.166409048,70.543083204524,71.24,1.32,1.86,186229.054663224,93.1145273316121,94,2.09,2.22,0.564286103177203,22.5714441270881
114,145299.334092542,72.649667046271,71.24,1.32,1.86,191432.791927497,95.7163959637487,94,2.09,2.22,0.576668222936942,23.0667289174777
115,142262.928836234,71.1314644181172,71.24,1.32,1.86,187723.687079203,93.8618435396014,94,2.09,2.22,0.568259478037105,22.7303791214842
116,138738.917888802,69.3694589444012,71.24,1.32,1.86,184012.01922679,92.006009613395,94,2.09,2.22,0.565913766724845,22.6365506689938
117,140179.469043627,70.0897345218136,71.24,1.32,1.86,183296.76900907,91.6483845045352,94,2.09,2.22,0.53896624956804,21.5586499827216
118,142899.309804108,71.4496549020539,71.24,1.32,1.86,189385.163827786,94.692581913893,94,2.09,2.22,0.581073175295977,23.2429270118391
119,149295.970165581,74.6479850827907,71.24,1.32,1.86,199835.999679918,99.917999839959,94,2.09,2.22,0.631750368929207,25.2700147571683
120,143980.074087506,71.9900370437529,71.24,1.32,1.86,191617.22641396,95.8086132069801,94,2.09,2.22,0.59546440408068,23.8185761632272
121,139887.806705689,69.9439033528444,71.24,1.32,1.86,183743.632118042,91.871816059021,94,2.09,2.22,0.548197817654415,21.9279127061766
122,138374.9912194,69.1874956096998,71.24,1.32,1.86,181162.176118456,90.5810880592281,94,2.09,2.22,0.534839811238207,21.3935924495283
123,145382.380523942,72.6911902619712,71.24,1.32,1.86,191716.639991188,95.8583199955941,94,2.09,2.22,0.579178243340573,23.1671297336229
124,144268.900021653,72.1344500108266,71.24,1.32,1.86,191587.899284609,95.7939496423043,94,2.09,2.22,0.591487490786943,23.6594996314777
125,139167.683324197,69.5838416620986,71.24,1.32,1.86,182042.482536311,91.0212412681554,94,2.09,2.22,0.53593499015142,21.4373996060568
126,142315.754241779,71.1578771208895,71.24,1.32,1.86,186967.734653534,93.4838673267669,94,2.09,2.22,0.558149755146935,22.3259902058774
127,141286.629276751,70.6433146383756,71.24,1.32,1.86,186515.228153893,93.2576140769463,94,2.09,2.22,0.565357485964267,22.6142994385707
128,137925.100728541,68.9625503642706,71.24,1.32,1.86,180120.228599363,90.0601142996813,94,2.09,2.22,0.527439098385268,21.0975639354107
129,148145.957236604,74.0729786183019,71.24,1.32,1.86,196546.069124749,98.2730345623744,94,2.09,2.22,0.605001398601813,24.2000559440725
130,149204.172641463,74.6020863207316,71.24,1.32,1.86,198494.398724639,99.2471993623197,94,2.09,2.22,0.616127826039703,24.6451130415881
131,144210.520719508,72.1052603597541,71.24,1.32,1.86,189447.764595058,94.723882297529,94,2.09,2.22,0.565465548444373,22.6186219377749
132,142544.395378986,71.2721976894929,71.24,1.32,1.86,187203.206725826,93.6016033629131,94,2.09,2.22,0.558235141835505,22.3294056734202
133,140970.157667841,70.4850788339203,71.24,1.32,1.86,186601.238328034,93.3006191640169,94,2.09,2.22,0.570388508252415,22.8155403300966
134,146774.015636592,73.387007818296,71.24,1.32,1.86,196063.282507895,98.0316412539474,94,2.09,2.22,0.616115835891285,24.6446334356514
135,142876.043184406,71.4380215922029,71.24,1.32,1.86,187605.506799219,93.8027533996093,94,2.09,2.22,0.55911829518516,22.3647318074064
136,139239.520518864,69.6197602594322,71.24,1.32,1.86,182468.563997148,91.234281998574,94,2.09,2.22,0.540363043478545,21.6145217391418
137,145740.350770196,72.870175385098,71.24,1.32,1.86,192616.030973265,96.3080154866323,94,2.09,2.22,0.585946002538358,23.4378401015343
138,141475.067240538,70.7375336202691,71.24,1.32,1.86,186123.756251087,93.0618781255434,94,2.09,2.22,0.558108612631857,22.3243445052743
139,139612.906992039,69.8064534960196,71.24,1.32,1.86,184601.364161103,92.3006820805515,94,2.09,2.22,0.562355714613297,22.4942285845319
140,142886.642783233,71.4433213916165,71.24,1.32,1.86,187288.917712636,93.6444588563181,94,2.09,2.22,0.55502843661754,22.2011374647016
141,138963.378924577,69.4816894622885,71.24,1.32,1.86,183059.185856948,91.5295929284741,94,2.09,2.22,0.55119758665464,22.0479034661856
142,147389.513502832,73.6947567514162,71.24,1.32,1.86,195043.817448261,97.5219087241303,94,2.09,2.22,0.595678799317853,23.8271519727141
