"Plot","PloKg_Ha.sum","Comp"
1,132617.246531879,3
2,165723.360224965,3
3,120889.232516074,3
4,178406.778534469,3
5,192721.331521229,3
6,73400.1099766238,3
7,212867.348991564,3
8,100457.823067761,2
9,133322.209307957,2
10,234853.802978111,3
11,188956.854207954,3
12,123044.266997129,4
13,5329.89849908324,4
14,222806.752973911,4
15,173867.770824788,4
16,197908.119658204,4
17,32302.4613453393,4
18,205236.404382657,4
19,155882.191012291,4
20,152858.126097765,2
21,149228.602733972,2
22,229541.588332683,2
23,143272.168891437,2
24,207869.453274885,3
25,230720.36075377,2
26,258333.719846992,2
27,356156.643323466,2
28,194143.228601928,3
29,233052.583212664,3
30,324662.715102573,4
31,248532.576960903,4
32,273892.813366413,4
33,164048.484375541,4
34,222201.846799741,4
35,59243.9285668395,2
36,238638.681031713,2
37,229720.023213059,2
38,149222.397147418,2
39,228521.405410615,3
40,179969.620767706,2
41,145175.834207262,2
42,213931.40546992,2
43,32658.5309350954,4
44,160267.138457965,6
45,267117.337995384,5
46,172301.813376297,5
47,225562.193636548,5
48,149745.935184316,5
49,143307.760288223,6
50,140162.776676238,9
51,101485.552630929,8
52,124353.780857257,8
53,87173.2308159907,7
54,132496.431297352,7
55,212376.549996788,7
56,199509.336774685,7
57,208338.075480743,7
58,201967.041829962,8
59,96979.617738197,8
60,127729.875923556,8
61,224331.034693565,9
62,155851.218406369,9
64,181573.978491967,9
65,109128.443054615,9
66,201083.627607577,8
67,167854.936330884,7
68,206398.233277158,10
69,255183.950554257,7
70,143078.479260464,7
71,133444.605966107,7
72,260418.555833412,7
73,153986.943561181,7
74,111152.888570398,8
75,74888.5776083186,9
76,221502.953415735,7
77,198919.315484104,7
78,262236.337847121,7
79,163531.681644534,7
80,184416.958011891,10
81,274597.660072254,10
82,182998.89997183,10
83,266193.666872588,10
84,231291.847718972,10
85,177530.688978616,7
86,156714.164972349,7
87,114244.895879769,11
88,193071.194990684,10
89,230966.624469342,10
90,279409.541955986,10
92,198378.565613834,10
93,209307.971325917,10
94,277868.446830382,10
95,256784.853288723,12
96,177637.774620323,14
97,230383.206841848,13
98,161809.040535131,13
99,157044.79066239,13
100,111937.841921885,13
101,234177.123888645,13
102,185318.24094236,13
103,5317.33146192357,13
104,151460.885442046,14
105,215596.059497981,14
106,142487.833747646,14
107,187227.082389803,14
108,291514.410777739,14
109,186400.68689799,14
110,160941.223724072,14
111,84710.3694123345,14
112,61601.0538590413,14
113,199606.589444656,13
114,147965.439763174,13
115,246183.604651508,10
116,208408.403176784,10
117,128981.303894872,13
118,90786.4181167622,13
119,190951.20369867,13
120,228011.324048769,13
121,225131.255847744,13
122,177953.057303687,14
123,69919.4905334012,14
124,213247.862273466,14
125,165341.62773113,17
126,245116.99969359,17
127,193812.891674039,17
128,87702.2493587621,17
129,200378.366783136,17
130,136830.701595805,17
131,192733.560839762,13
132,289163.468229689,13
133,249772.249852972,13
134,183803.197782973,10
135,184034.079622226,10
136,213556.674947984,10
137,111620.647988811,16
138,188988.715759873,13
139,225954.120943151,13
140,198071.193616779,17
141,165553.383057482,17
142,120708.453378669,17
143,211454.737292617,17
144,181010.796914151,17
145,160235.106670357,17
146,179638.149286113,17
147,300520.011233401,17
148,332225.995428555,13
149,189341.710358154,16
150,125736.793138384,15
151,271141.162521066,15
152,171159.41266068,16
153,111234.403418947,16
154,208406.007768986,17
155,78825.9030112235,17
156,120938.848030325,17
157,174232.259460421,17
158,126141.986310374,17
159,206452.649881637,15
160,188677.742338504,19
161,222868.068280099,19
162,183085.763797117,19
163,155637.026667589,18
164,135294.856851979,18
165,142977.6223047,18
166,131464.845860741,19
167,148266.077170942,19
168,283006.026983884,19
169,302777.635974558,19
170,189756.08473236,20
171,224962.378540399,20
172,131631.760901044,19
173,367632.20226546,19
174,170566.795851599,6
175,151066.280271618,6
176,160908.440326574,6
177,176258.370257434,6
178,152099.215678328,6
179,222372.516583227,6
180,224457.292345176,6
181,124443.034085686,6
182,161872.137222439,6
183,178611.768437752,6
184,143747.482403641,6
185,138086.922715389,9
186,103029.549082499,9
187,102338.923288673,9
188,225263.043984719,9
189,227647.588139941,9
190,282792.846127615,12
191,156704.154539569,9
192,184965.091666131,9
193,57945.8350968405,9
194,151463.133402193,9
195,113449.153734006,9
196,187591.265435424,12
197,234557.641050098,12
198,220157.705336977,12
199,209190.422584424,9
200,203259.571623432,5
201,199066.937808573,5
202,26271.1681254108,4
204,228997.962953994,5
205,205353.988222968,5
206,99588.6154005822,7
208,166458.086190281,7
209,124079.110337397,8
210,41874.1323198727,8
211,187158.695284739,7
212,228328.79524372,7
213,176593.708534518,7
214,174830.89174817,7
215,235680.063832206,10
216,168717.585950589,7
217,150422.264857198,7
218,163921.470068152,7
219,140247.943595776,7
220,75531.2935510495,10
221,317921.135270308,7
222,198879.15390698,7
223,168746.992226072,7
224,118047.879590596,7
225,201002.096766382,12
226,170376.226605319,12
227,186627.819944352,11
228,245914.481192826,7
229,281269.016610409,7
230,176283.517112033,11
231,266069.92168249,11
232,196146.7536065,11
233,213035.346540281,11
234,257747.598375036,11
235,151783.420157851,11
236,127770.305333024,11
237,198292.356207035,12
238,150106.1291421,12
239,101476.931092254,12
240,255102.085241397,12
241,168014.389432795,12
242,172164.256430912,12
243,183733.377299931,12
245,296807.137588155,11
246,247077.556856427,11
247,183421.504173606,11
248,288179.212713066,11
249,96977.1239776024,11
250,207478.724784154,11
251,30409.4787810797,10
252,158347.288238288,10
253,141000.837177466,17
254,75403.3831958605,17
255,94993.2363412621,16
256,214984.246413269,17
257,173639.032098961,20
258,195307.275275152,17
259,168604.068883035,17
260,277640.558467553,17
261,240247.394928414,20
262,176451.906376796,1
263,352183.99682717,1
264,237420.039388563,1
265,231555.866765838,1
266,238565.865045986,1
267,183685.411168165,1
268,173530.123236287,1
269,176150.781129073,1
270,128381.58344,1
271,284248.199151935,1
272,190393.234774615,1
273,208481.469702436,1
274,162482.554266765,1
275,257868.089239559,1
276,245859.980305719,1
277,229161.327448936,1
278,196424.364939731,1
279,188566.246863,1
280,232168.863321192,1
281,116027.794917541,1
282,195196.621479369,1
283,214680.334120775,1
284,144762.745699135,1
285,93987.0618652486,4
286,308951.042897456,4
287,213645.883741963,4
288,113685.255007586,4
289,155162.896581547,4
290,5017.69996491107,4
