"Comp","Area_Ha","Wh","Sh2","nh","Mean","Wh_2xSh_2_nh","WhxYbarh"
1,2.33,0.0801237964236589,2912870027.73388,23,216433.836583769,813048.229633386,17341.5006616294
2,1.62,0.0557083906464924,1645562716.91098,16,140474.42616436,319180.007910307,7825.604208606
3,1.32,0.0453920220082531,3767379948.50976,13,187231.865757649,597111.076784976,8498.8329711175
4,2.13,0.0732462173314993,7603796305.1926,21,170869.6594712,1942591.93784318,12515.5562129868
5,1.01,0.0347317744154058,1476019821.11714,8,224555.676504129,222564.629188038,7799.21710004025
6,1.32,0.0453920220082531,1174883525.7881,13,191035.236285378,186213.224248265,8671.47564981772
7,3.34,0.114855570839065,2631551732.93436,33,192789.998209311,1051966.96411037,22143.0052963927
8,0.91,0.031292984869326,2701461232.57668,9,149709.143897024,293934.260978314,4684.84597476933
9,1.72,0.0591471801925722,3296931262.51503,17,170240.030394807,678467.518493369,10069.2177537506
10,2.13,0.0732462173314993,4417827486.67979,21,208128.591755207,1128651.49379995,15244.6320646008
11,1.52,0.0522696011004127,4044038158.94207,15,222554.346810119,736584.12960151,11632.8269309278
12,1.42,0.0488308115543329,1964741854.7174,14,197761.998123413,334630.363897805,9656.8788629727
13,2.03,0.0698074277854195,4877450477.59397,20,185549.548049599,1188409.58071346,12952.7366760896
14,1.32,0.0453920220082531,4008179472.6072,13,190256.159161576,635276.609619011,8636.11176386796
15,0.3,0.0103163686382393,4764346710.56513,3,230790.283989727,169019.109307335,2380.91764776197
16,0.51,0.0175378266850069,828054457.803106,5,151495.239604039,50937.8303921327,2656.89725577922
17,2.53,0.0870013755158184,3967515405.11251,25,174123.364830609,1201242.94771832,15148.9722497057
18,0.3,0.0103163686382393,1725681159.09425,3,163554.27971975,61219.9552588735,1687.28624195065
19,0.91,0.031292984869326,9572104257.2727,8,192628.211977929,1171686.46603467,6027.91172283064
20,0.41,0.0140990371389271,547987251.449911,4,193071.635721275,27232.6166612694,2722.12416250766
