"Comp","Area_Ha","Mean","Var","n","Wh","Wh_2xSh_2_nh","WhxYbarh"
1,2.33,194189.583597503,2618862357.6334,23,0.0801237964236589,730984.006582623,15559.2066637614
2,1.62,143490.496822228,5374229434.94125,16,0.0557083906464924,1042407.30294156,7993.62465103194
3,1.32,171414.406562505,4008160450.74233,13,0.0453920220082531,635273.59474757,7780.84651521687
4,2.13,145565.443827701,5817513790.18104,21,0.0732462173314993,1486238.57524692,10662.11813456
5,1.01,176591.526072066,2062742780.56604,8,0.0347317744154058,311034.835372004,6133.33704720724
6,1.32,129441.938423674,4303026608.03537,13,0.0453920220082531,682008.421363171,5875.63131771837
7,3.34,171537.043450972,7078258364.55407,33,0.114855570839065,2829544.96761722,19701.9850456068
8,0.91,72143.9593326678,2876678500.10601,8,0.031292984869326,352123.752010561,2257.59982781044
9,1.72,98999.7099104578,2470043351.35893,17,0.0591471801925722,508304.253176676,5855.55368108623
10,2.13,164332.707880748,4010748230.56843,21,0.0732462173314993,1024652.27429888,12036.7492361071
11,1.52,172444.155813314,3283715184.53739,15,0.0522696011004127,598098.335376361,9013.58723645931
12,1.42,146895.09524059,7295403898.10983,15,0.0488308115543329,1159700.82532121,7173.00671394902
13,2.03,157796.858547121,5277043698.42058,20,0.0698074277854195,1285772.00688263,11015.3928077942
14,1.32,139027.677391664,5517454073.61039,13,0.0453920220082531,874489.164361655,6310.74739191874
15,0.3,172552.870062221,3981096760.3776,3,0.0103163686382393,141232.674568623,1780.11901714809
16,0.51,123094.870042453,1621116072.30305,5,0.0175378266850069,99723.07347516,2158.81649661798
17,2.53,119902.188482527,8718333451.28943,25,0.0870013755158184,2639646.10212299,10431.6553253368
18,0.3,133602.49627942,43077523.6726076,3,0.0103163686382393,1528.21050285111,1378.2926026075
19,0.91,203683.810441237,8316005250.61181,9,0.031292984869326,904828.404773706,6373.87439826428
20,0.41,227732.021530273,670356330.585452,4,0.0140990371389271,33313.8351831849,3210.80222927826
