Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
1_2021,1,496,10,371,9.9,25.146,POLE,2021,496.62400026345756,2
10_2021,1,87,10,371,13,33.02,SAW,2021,856.3356396747714,2
1000_2021,52,799,30,531,11.4,28.956000000000003,SAW,2021,658.5170398351082,3
1001_2021,52,701,30,541,11.9,30.226000000000003,SAW,2021,717.5484611499667,7
1002_2021,52,638,10,318,12.4,31.496000000000002,SAW,2021,779.1134198603127,1
1003_2021,52,637,10,318,12.2,30.988,SAW,2021,754.1834118887156,1
1004_2021,52,702,30,318,10.6,26.924,SAW,2021,569.3365235139484,1
1005_2021,52,648,10,541,13.9,35.306000000000004,SAW,2021,979.0095203642757,7
1006_2021,53,27,10,318,17.2,43.687999999999995,SAW,2021,1499.043406162037,1
1007_2021,53,530,10,531,7.2,18.288,POLE,2021,262.67715716414284,3
1008_2021,53,692,10,531,5,12.7,POLE,2021,126.67686977437442,3
1009_2021,53,28,10,531,15.8,40.132000000000005,SAW,2021,1264.9445508189935,3
101_2021,5,777,30,316,11,27.94,SAW,2021,613.1160497079724,5
1010_2021,53,732,31,531,5.6,14.223999999999998,POLE,2021,158.90346544497527,3
1011_2021,53,693,10,531,5.2,13.208,POLE,2021,137.0137023479634,3
1012_2021,53,733,31,316,5.9,14.986,POLE,2021,176.38487347383898,5
1013_2021,53,531,14,375,12.2,30.988,SAW,2021,754.1834118887156,2
1014_2021,53,734,31,316,5.5,13.97,POLE,2021,153.2790124269931,5
1016_2021,53,735,31,316,5.5,13.97,POLE,2021,153.2790124269931,5
1017_2021,53,736,31,371,5.2,13.208,POLE,2021,137.0137023479634,2
1018_2021,53,737,31,371,5.8,14.732,POLE,2021,170.45639596839823,2
1019_2021,53,35,10,316,18.9,48.006,SAW,2021,1810.0097860841715,5
102_2021,5,545,10,762,13.9,35.306000000000004,SAW,2021,979.0095203642757,2
1020_2021,53,695,10,318,13,33.02,SAW,2021,856.3356396747714,1
1021_2021,53,696,10,531,12.1,30.733999999999998,SAW,2021,741.8704201466463,3
1022_2021,53,776,30,371,11.3,28.702,SAW,2021,647.014780059595,2
1023_2021,53,777,30,129,12.8,32.512,SAW,2021,830.1895337533404,4
1024_2021,53,697,10,129,13.4,34.036,SAW,2021,909.8439494674669,4
1026_2021,54,687,10,531,7.1,18.034,POLE,2021,255.4312402130486,3
1029_2021,54,56,10,318,17.6,44.70400000000001,SAW,2021,1569.5770872524095,1
1031_2021,54,701,31,371,5.1,12.953999999999999,POLE,2021,131.79461531325913,2
1032_2021,54,689,10,371,5.5,13.97,POLE,2021,153.2790124269931,2
1033_2021,54,504,10,261,15.2,38.608,SAW,2021,1170.6969597068585,4
1034_2021,54,505,10,261,14,35.56,SAW,2021,993.1466590310957,4
1035_2021,54,702,30,371,11.2,28.447999999999997,SAW,2021,635.6138617799011,2
1036_2021,54,407,10,97,21.6,54.864000000000004,SAW,2021,2364.0944144772857,6
1037_2021,54,71,10,261,23.9,60.705999999999996,SAW,2021,2894.3637913528164,4
1038_2021,54,690,10,261,11.6,29.464,SAW,2021,681.8255838735929,4
1039_2021,54,73,10,261,21.2,53.848,SAW,2021,2277.3460940557934,4
104_2021,5,547,10,762,16.5,41.910000000000004,SAW,2021,1379.511111842938,2
1040_2021,54,72,10,261,23.7,60.198,SAW,2021,2846.125239342735,4
1041_2021,54,691,10,97,14.7,37.338,SAW,2021,1094.944191581783,6
1042_2021,55,22,10,97,22,55.88,SAW,2021,2452.4641988318895,6
1043_2021,55,443,10,531,7.8,19.812,POLE,2021,308.28083028291763,3
1044_2021,55,444,10,531,8.9,22.606,POLE,2021,401.36299419312803,3
1045_2021,55,25,10,371,13.1,33.274,SAW,2021,869.560704879216,2
1046_2021,55,28,10,261,14.7,37.338,SAW,2021,1094.944191581783,4
1047_2021,55,30,10,261,18.2,46.228,SAW,2021,1678.4178537625517,4
1048_2021,55,351,10,261,9.3,23.622000000000003,POLE,2021,438.25129867142596,4
1049_2021,55,31,10,261,11.5,29.21,SAW,2021,670.1206411064408,4
105_2021,5,656,10,316,13.8,35.052,SAW,2021,964.9737231932746,5
1050_2021,55,32,10,261,7.5,19.05,POLE,2021,285.0229569923425,4
1052_2021,55,33,10,371,24.7,62.738,SAW,2021,3091.371659225924,2
1053_2021,55,446,10,261,14.3,36.322,SAW,2021,1036.1661240064732,4
1054_2021,55,447,10,261,15.1,38.354,SAW,2021,1155.3437230902045,4
1055_2021,55,448,10,261,17.5,44.45,SAW,2021,1551.791654736087,4
1056_2021,55,252,10,261,18.9,48.006,SAW,2021,1810.0097860841715,4
1057_2021,55,449,10,261,16.8,42.672000000000004,SAW,2021,1430.131189004778,4
1059_2021,55,450,10,316,14.5,36.83,SAW,2021,1065.3524748024888,5
106_2021,5,657,10,762,11.6,29.464,SAW,2021,681.8255838735929,2
1060_2021,55,452,10,261,18.4,46.736,SAW,2021,1715.508841232488,4
1061_2021,55,41,10,371,24.5,62.230000000000004,SAW,2021,3041.511643282731,2
1062_2021,55,451,10,97,13.8,35.052,SAW,2021,964.9737231932746,6
1063_2021,55,350,10,261,15.9,40.386,SAW,2021,1281.0071779063842,4
1065_2021,56,75,10,261,18.4,46.736,SAW,2021,1715.508841232488,4
1066_2021,56,76,10,261,15.4,39.116,SAW,2021,1201.7074574276255,4
1067_2021,56,77,10,97,17.8,45.212,SAW,2021,1605.4519767725121,6
1068_2021,56,78,10,261,15.1,38.354,SAW,2021,1155.3437230902045,4
1069_2021,56,406,10,531,7.5,19.05,POLE,2021,285.0229569923425,3
107_2021,6,501,14,541,11,27.94,SAW,2021,613.1160497079724,7
1070_2021,56,684,10,531,5.8,14.732,POLE,2021,170.45639596839823,3
1072_2021,56,685,10,371,8.9,22.606,POLE,2021,401.36299419312803,2
1073_2021,56,586,10,371,9.7,24.637999999999998,POLE,2021,476.76106708283555,2
1074_2021,56,706,31,531,4.9,12.446000000000002,POLE,2021,121.66046573130923,3
1075_2021,56,84,10,318,26.8,68.072,SAW,2021,3639.3757978698677,1
1076_2021,56,686,10,531,12.8,32.512,SAW,2021,830.1895337533404,3
1077_2021,56,88,10,318,17.7,44.958,SAW,2021,1587.4638612645506,1
1078_2021,56,89,10,261,17.5,44.45,SAW,2021,1551.791654736087,4
1079_2021,56,352,10,316,20.6,52.324000000000005,SAW,2021,2150.2638582981417,5
108_2021,6,423,14,541,12.3,31.242,SAW,2021,766.5977451266044,7
1081_2021,56,98,10,261,21.5,54.61,SAW,2021,2342.2553221281833,4
1082_2021,56,99,10,261,24.7,62.738,SAW,2021,3091.371659225924,4
1083_2021,56,588,10,261,15.1,38.354,SAW,2021,1155.3437230902045,4
1086_2021,57,659,10,371,9.4,23.876,POLE,2021,447.72672853054905,2
1087_2021,57,660,10,371,8.3,21.082,POLE,2021,349.0707823502662,2
1088_2021,57,527,10,531,9,22.86,POLE,2021,410.4330580689732,3
1089_2021,57,661,10,531,8.1,20.573999999999998,POLE,2021,332.4507770358682,3
109_2021,6,651,10,316,7.2,18.288,POLE,2021,262.67715716414284,5
1090_2021,57,662,10,531,6,15.24,POLE,2021,182.41469247509917,3
1091_2021,57,79,10,531,13.9,35.306000000000004,SAW,2021,979.0095203642757,3
1092_2021,57,451,10,531,9.3,23.622000000000003,POLE,2021,438.25129867142596,3
1093_2021,57,528,10,531,8,20.32,POLE,2021,324.2927866223985,3
1094_2021,57,663,10,531,7.1,18.034,POLE,2021,255.4312402130486,3
1095_2021,57,81,10,318,28.8,73.152,SAW,2021,4202.834514626285,1
1096_2021,57,664,10,531,12.9,32.766,SAW,2021,843.2119159661459,3
1097_2021,57,778,30,531,10.7,27.177999999999997,SAW,2021,580.129392818725,3
1098_2021,57,665,10,970,11.3,28.702,SAW,2021,647.014780059595,3
11_2021,1,493,10,316,15,38.1,SAW,2021,1140.09182796937,5
1100_2021,57,779,30,531,11.2,28.447999999999997,SAW,2021,635.6138617799011,3
1101_2021,57,666,10,531,12,30.48,SAW,2021,729.6587699003967,3
